scope,category,status,url,method,error,found_on
subdomain,broken,404,https://dataonline.bmkg.go.id/home/,HEAD,,https://ppid.bmkg.go.id
subdomain,broken,404,https://hidromet-sih3.bmkg.go.id,HEAD,,https://iklim.bmkg.go.id
subdomain,broken,404,https://iklim.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIySW5mb3JtYXNpJTIwSWtsaW0lMjBCTUtHJTIwJTdDJTIyJTJDJTIyeCUyMiUzQTAuMzIzMDc3MTIxNDgzMzY1NCUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmlrbGltLmJta2cuZ28uaWQlMkZpZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,HEAD,,https://iklim.bmkg.go.id
subdomain,broken,404,https://iklim.bmkg.go.id/id/xmlrpc.php,HEAD,,https://iklim.bmkg.go.id
subdomain,broken,404,https://iklim.bmkg.go.id/id/xmlrpc.php?rsd,HEAD,,https://iklim.bmkg.go.id
subdomain,broken,404,https://inatews.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIySW5hVEVXUyUyMC0lMjBCTUtHJTIwKEluZG9uZXNpYSUyMFRzdW5hbWklMjBFYXJseSUyMFdhcm5pbmclMjBTeXN0ZW0pJTIyJTJDJTIyeCUyMiUzQTAuNjY0ODcyNTEyODQzNzgyOCUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRmluYXRld3MuYm1rZy5nby5pZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,HEAD,,https://inatews.bmkg.go.id
subdomain,broken,404,https://jdih.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIySkRJSCUyMEJNS0clMjAtJTIwSmFyaW5nYW4lMjBEb2t1bWVudGFzaSUyMGRhbiUyMEluZm9ybWFzaSUyMEh1a3VtJTIwQk1LRyUyMiUyQyUyMnglMjIlM0EwLjY0NjU4OTk3MTk0MjM3MDQlMkMlMjJ3JTIyJTNBMTI4MCUyQyUyMmglMjIlM0E3MjAlMkMlMjJqJTIyJTNBNzIwJTJDJTIyZSUyMiUzQTEyODAlMkMlMjJsJTIyJTNBJTIyaHR0cHMlM0ElMkYlMkZqZGloLmJta2cuZ28uaWQlMkYlMjIlMkMlMjJyJTIyJTNBJTIyJTIyJTJDJTIyayUyMiUzQTI0JTJDJTIybiUyMiUzQSUyMlVURi04JTIyJTJDJTIybyUyMiUzQS00ODAlMkMlMjJxJTIyJTNBJTVCJTVEJTdE,HEAD,,https://jdih.bmkg.go.id
subdomain,broken,,https://mail.bmkg.go.id/,GET,"HTTPSConnectionPool(host='mail.bmkg.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='mail.bmkg.go.id', port=443): Failed to resolve 'mail.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://ppid.bmkg.go.id
subdomain,broken,404,https://maritim.bmkg.go.id/cuaca/maritim,HEAD,,https://maritim.bmkg.go.id
subdomain,broken,400,https://maritim.bmkg.go.id/inasiam,HEAD,,https://maritim.bmkg.go.id
subdomain,broken,404,https://meteo.bmkg.go.id,HEAD,,https://jdih.bmkg.go.id
