host,category,status,error,url_sample,link_count
meteo.bmkg.go.id,broken,404,,https://meteo.bmkg.go.id,1
portal.bmkg.go.id,broken,404,,https://portal.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUG9ydGFsJTIwU1NPJTIwQk1LRyUyMC0lMjBTaW5nbGUlMjBTaWduLU9uJTIyJTJDJTIyeCUyMiUzQTAuMzM0MjU1NTc2OTI0OTYwMiUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnBvcnRhbC5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,10
ppid.bmkg.go.id,broken,404,,https://ppid.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUFBJRCUyMEJNS0clMjIlMkMlMjJ4JTIyJTNBMC40MTc4NjE4ODcxNDIyNjEyNSUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnBwaWQuYm1rZy5nby5pZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,46
ppsdm.bmkg.go.id,broken,404,,https://ppsdm.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUFBTRE0lMjBNS0clMjIlMkMlMjJ4JTIyJTNBMC41NTAwOTMwMDUxMjM0OTQlMkMlMjJ3JTIyJTNBMTI4MCUyQyUyMmglMjIlM0E3MjAlMkMlMjJqJTIyJTNBNzIwJTJDJTIyZSUyMiUzQTEyODAlMkMlMjJsJTIyJTNBJTIyaHR0cHMlM0ElMkYlMkZwcHNkbS5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,94
ptsp.bmkg.go.id,broken,404,,https://ptsp.bmkg.go.id/-,92
puslitbang.bmkg.go.id,broken,,"HTTPSConnectionPool(host='puslitbang.bmkg.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='puslitbang.bmkg.go.id', port=443): Failed to resolve 'puslitbang.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://puslitbang.bmkg.go.id/,1
sdm.sestama.bmkg.go.id,broken,,"HTTPSConnectionPool(host='sdm.sestama.bmkg.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='sdm.sestama.bmkg.go.id', port=443): Failed to resolve 'sdm.sestama.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://sdm.sestama.bmkg.go.id/,1
sibatik.bmkg.go.id,broken,400,,https://sibatik.bmkg.go.id/images/favicon.ico,26
sih3.bmkg.go.id,broken,404,,https://sih3.bmkg.go.id,1
simpel.bmkg.go.id,broken,,"HTTPSConnectionPool(host='simpel.bmkg.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='simpel.bmkg.go.id', port=443): Failed to resolve 'simpel.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://simpel.bmkg.go.id,1
